"date","province","new_cases","accu_cases","incidence","positivity","recovered","new_deaths","accu_deaths","processed"
"2021-08-30","Distrito Nacional","32","94788","9086.39","5.74","93458","0","640","486270"
"2021-08-30","Azua","0","4501","2025.14","6.09","4405","0","40","24548"
"2021-08-30","Baoruco","2","1986","1966.24","3.19","1945","0","14","10890"
"2021-08-30","Barahona","1","4787","2530.43","2.78","4676","0","32","27189"
"2021-08-30","Dajabén","4","1569","2360.57","5.96","1505","0","15","8788"
"2021-08-30","Duarte","1","8327","2785.76","3.65","7944","0","235","55906"
"2021-08-30","Elias Piha","0","522","823.32","0.34","502","0","6","5963"
"2021-08-30","El Seibo","0","1224","1308.98","4.5","1173","0","16","8274"
"2021-08-30","Espaillat","8","7260","3026.95","8.5","6902","0","133","41120"
"2021-08-30","Independencia","0","1359","2326.1","1.65","1336","0","13","11558"
"2021-08-30","La Altagracia","4","12164","3441.93","3.08","11905","0","90","78099"
"2021-08-30","La Romana","0","12745","4675.4","3.74","12420","0","204","78180"
"2021-08-30","La Vega","14","11987","2914.49","9.08","11453","0","214","64222"
"2021-08-30","Maria Trinidad Sanche","0","4378","3102.83","13.22","4236","0","32","24195"
"2021-08-30","Monte Cristi","0","1713","1461.34","5.59","1602","0","31","11341"
"2021-08-30","Pedernales","0","922","2634.51","5.62","908","0","4","4776"
"2021-08-30","Peravia","0","3137","1588.89","5.07","3029","0","66","19558"
"2021-08-30","Puerto Plata","2","8799","2640.59","4.68","8407","0","158","63489"
"2021-08-30","Hermanas Mirabal","1","3347","3632.2","3.23","3244","0","50","34971"
"2021-08-30","Samana","0","1146","1021.75","3.66","1114","0","10","9910"
"2021-08-30","San Cristébal","10","11941","1873.31","7.59","11538","0","213","59552"
"2021-08-30","San Juan","0","5638","2542.66","3.08","5500","0","73","30906"
"2021-08-30","San Pedro de Macoris","2","5827","1910.7","3.93","5694","0","63","40025"
"2021-08-30","Sanchez Ramirez","2","3713","2443.12","9.03","3564","0","38","19896"
"2021-08-30","Santiago","15","35376","3384.72","7.33","33979","0","608","180588"
"2021-08-30","Santiago Rodriguez","5","1688","2947.65","431","1646","0","11","12699"
"2021-08-30","Valverde","8","3489","1974.31","3.93","3348","0","53","28749"
"2021-08-30","Monsefor Nouel","1","3961","2272.81","3.94","3865","0","51","25654"
"2021-08-30","Monte Plata","0","2244","1174.67","4.99","2139","0","36","17970"
"2021-08-30","Hato Mayor","1","1707","1990.39","9.15","1627","0","20","12325"
"2021-08-30","San Jose de Ocoa","0","1413","2597.19","6.03","1346","0","28","8028"
"2021-08-30","Santo Domingo","36","76397","2628.94","5.37","74749","0","809","373359"
"2021-08-30","No especificado*e","7","10118","0","0","10028","0","2","76061"
"2021-08-30","Total","156","350173","83094.28","594.74","341187","0","4008","1955059"
